Epoch,Train Accuracy %,Train Loss,,Average Accuracy,Average Train Loss
2300,"6,02","1,9224",,,
1985,"5,42","4,8322",,,
2065,"5,42","4,5037",,,
2025,"5,42","4,1903",,,
1325,"5,42","4,1548",,,
2200,"5,42","4,0845",,,
2645,"5,42","3,9988",,,
1790,"5,42","3,7345",,,
2880,"5,42","3,4146",,,
2830,"5,42","3,3957",,,
2075,"5,42","3,2009",,,
1855,"5,42","3,1649",,,
2835,"5,42","2,8355",,,
2165,"5,42","2,7678",,,
2405,"5,42","2,6265",,,
2965,"5,42","2,3377",,,
2395,"5,42","2,0418",,,
2085,"5,42","1,8176",,,
850,"4,82","4,1372",,,
1740,"4,82","3,9344",,,
1945,"4,82","3,9211",,,
2010,"4,82","3,8655",,,
870,"4,82","3,6676",,,
2940,"4,82","3,6537",,,
2610,"4,82","3,3927",,,
2950,"4,82","3,2021",,,
2220,"4,82","3,193",,,
2820,"4,82","2,9411",,,
2445,"4,82","2,7227",,,
2615,"4,82","2,4962",,,
2850,"4,82","2,1632",,,
2435,"4,82","2,1527",,,
1345,"4,22","4,4702",,,
2760,"4,22","3,839",,,
2335,"4,22","3,5361",,,
2120,"4,22","3,3044",,,
2750,"4,22","3,2327",,,
2755,"4,22","3,0395",,,
860,"4,22","2,8212",,,
2020,"4,22","2,8033",,,
2190,"4,22","2,7456",,,
1425,"4,22","2,6092",,,
1975,"4,22","2,1135",,,
2490,"4,22","2,0579",,,
2825,"3,61","4,4948",,,
2970,"3,61","4,1287",,,
2680,"3,61","3,971",,,
2030,"3,61","3,4418",,,
2440,"3,61","3,4091",,,
2495,"3,61","3,1941",,,
2925,"3,61","2,7631",,,
900,"3,61","2,7186",,,
2745,"3,61","1,8209",,,
1910,"3,01","4,4877",,,
2920,"3,01","4,1282",,,
2650,"3,01","3,9708",,,
890,"3,01","3,5121",,,
2325,"3,01","3,0789",,,
2995,"3,01","2,5912",,,
2225,"3,01","2,5437",,,
2810,"3,01","2,479",,,
2420,"3,01","2,1283",,,
2785,"3,01","1,9011",,,
1400,"2,41","4,1299",,,
880,"2,41","4,1049",,,
2790,"2,41","3,4226",,,
2780,"2,41","3,4131",,,
2130,"2,41","3,2153",,,
2960,"2,41","3,1614",,,
2910,"2,41","2,7804",,,
2455,"2,41","2,1192",,,
1660,"1,81","4,8749",,,
2805,"1,81","3,5861",,,
2665,"1,81","3,4632",,,
885,"1,81","2,8808",,,
2875,"1,81","2,8683",,,
2885,"1,81","2,7684",,,
855,"1,2","5,417",,,
2765,"1,2","3,702",,,
2530,"0,6","2,7024",,,
2775,0,"3,1361",,,
